Matrix,Number of Ones,Time for Apprx,Time for Calc,Calc Perm,Actual Perm,Relative Error
"[[0 2 0]
 [0 2 2]
 [2 2 0]]",5,0.00014901161193847656,1.9550323486328125e-05,1,1.0,0.051241058184559485
"[[0 2 0]
 [0 2 2]
 [2 2 2]]",6,0.00016069412231445312,1.71661376953125e-05,2,1.0,0.6570710975280483
"[[0 2 0]
 [2 0 0]
 [0 0 0]]",2,0.0001533031463623047,1.7404556274414062e-05,0,0.0,inf
"[[0 2 0]
 [2 0 0]
 [0 0 2]]",3,0.000164031982421875,1.7404556274414062e-05,0,1.0,0.7319488334620041
"[[0 2 0]
 [2 0 0]
 [0 2 0]]",3,0.0001595020294189453,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [2 0 0]
 [0 2 2]]",4,0.00020074844360351562,2.002716064453125e-05,1,1.0,0.4298920880838052
"[[0 2 0]
 [2 0 0]
 [2 0 0]]",3,0.00016379356384277344,1.71661376953125e-05,0,0.0,inf
"[[0 2 0]
 [2 0 0]
 [2 0 2]]",4,0.0001430511474609375,1.71661376953125e-05,1,1.0,0.44472778301098437
"[[0 2 0]
 [2 0 0]
 [2 2 0]]",4,0.0001647472381591797,1.71661376953125e-05,1,0.0,inf
"[[0 2 0]
 [2 0 0]
 [2 2 2]]",5,0.00014710426330566406,1.6689300537109375e-05,1,1.0,0.05696276004474243
"[[0 2 0]
 [2 0 2]
 [0 0 0]]",3,0.0001690387725830078,1.811981201171875e-05,0,0.0,inf
"[[0 2 0]
 [2 0 2]
 [0 0 2]]",4,0.00014209747314453125,1.6927719116210938e-05,1,1.0,0.4298920880838052
"[[0 2 0]
 [2 0 2]
 [0 2 0]]",4,0.00016188621520996094,1.7404556274414062e-05,1,0.0,inf
"[[0 2 0]
 [2 0 2]
 [0 2 2]]",5,0.0001437664031982422,1.9550323486328125e-05,1,1.0,0.04278964655371009
"[[0 2 0]
 [2 0 2]
 [2 0 0]]",4,0.00017452239990234375,1.811981201171875e-05,1,1.0,0.4591774144590012
"[[0 2 0]
 [2 0 2]
 [2 0 2]]",5,0.0001361370086669922,2.3365020751953125e-05,1,2.0,0.4715186199776288
"[[0 2 0]
 [2 0 2]
 [2 2 0]]",5,0.00016188621520996094,1.7404556274414062e-05,1,1.0,0.07132850792440104
"[[0 2 0]
 [2 0 2]
 [2 2 2]]",6,0.0001418590545654297,1.7404556274414062e-05,2,2.0,0.1111111111111115
"[[0 2 0]
 [2 2 0]
 [0 0 0]]",3,0.00017070770263671875,1.7642974853515625e-05,0,0.0,inf
"[[0 2 0]
 [2 2 0]
 [0 0 2]]",4,0.0001621246337890625,2.0503997802734375e-05,1,1.0,0.4298920880838052
"[[0 2 0]
 [2 2 0]
 [0 2 0]]",4,0.00016951560974121094,1.7404556274414062e-05,0,0.0,inf
"[[0 2 0]
 [2 2 0]
 [0 2 2]]",5,0.0001513957977294922,1.7404556274414062e-05,1,1.0,0.04278964655371009
"[[0 2 0]
 [2 2 0]
 [2 0 0]]",4,0.000202178955078125,1.8358230590820312e-05,0,0.0,inf
"[[0 2 0]
 [2 2 0]
 [2 0 2]]",5,0.0001461505889892578,1.7642974853515625e-05,1,1.0,0.05696276004474243
"[[0 2 0]
 [2 2 0]
 [2 2 0]]",5,0.000194549560546875,1.811981201171875e-05,1,0.0,inf
"[[0 2 0]
 [2 2 0]
 [2 2 2]]",6,0.0001404285430908203,1.7404556274414062e-05,2,1.0,0.777777777777777
"[[0 2 0]
 [2 2 2]
 [0 0 0]]",4,0.00023174285888671875,1.9073486328125e-05,0,0.0,inf
"[[0 2 0]
 [2 2 2]
 [0 0 2]]",5,0.00015282630920410156,1.7404556274414062e-05,1,1.0,0.04278964655371009
"[[0 2 0]
 [2 2 2]
 [0 2 0]]",5,0.0003082752227783203,3.910064697265625e-05,1,0.0,inf
"[[0 2 0]
 [2 2 2]
 [0 2 2]]",6,0.00015783309936523438,1.7881393432617188e-05,2,1.0,0.7365955999112206
"[[0 2 0]
 [2 2 2]
 [2 0 0]]",5,0.00014734268188476562,1.7404556274414062e-05,1,1.0,0.051241058184559485
"[[0 2 0]
 [2 2 2]
 [2 0 2]]",6,0.00018167495727539062,1.7642974853515625e-05,2,2.0,0.1111111111111115
"[[0 2 0]
 [2 2 2]
 [2 2 0]]",6,0.00013303756713867188,2.3365020751953125e-05,2,1.0,0.6963674061674452
"[[0 2 0]
 [2 2 2]
 [2 2 2]]",7,0.00019502639770507812,1.7642974853515625e-05,3,2.0,0.38401639542941446
"[[0 2 2]
 [0 0 0]
 [0 0 0]]",2,0.00014448165893554688,1.7642974853515625e-05,0,0.0,inf
"[[0 2 2]
 [0 0 0]
 [0 0 2]]",3,0.00014853477478027344,1.7404556274414062e-05,0,0.0,inf
"[[0 2 2]
 [0 0 0]
 [0 2 0]]",3,0.0001609325408935547,1.6927719116210938e-05,0,0.0,inf
"[[0 2 2]
 [0 0 0]
 [0 2 2]]",4,0.0001537799835205078,1.7404556274414062e-05,0,0.0,inf
"[[0 2 2]
 [0 0 0]
 [2 0 0]]",3,0.0001766681671142578,1.7404556274414062e-05,0,0.0,inf
"[[0 2 2]
 [0 0 0]
 [2 0 2]]",4,0.0001583099365234375,1.7404556274414062e-05,1,0.0,inf
"[[0 2 2]
 [0 0 0]
 [2 2 0]]",4,0.00018858909606933594,1.7404556274414062e-05,1,0.0,inf
"[[0 2 2]
 [0 0 0]
 [2 2 2]]",5,0.00015306472778320312,1.7404556274414062e-05,1,0.0,inf
"[[0 2 2]
 [0 0 2]
 [0 0 0]]",3,0.0001544952392578125,1.7404556274414062e-05,0,0.0,inf
"[[0 2 2]
 [0 0 2]
 [0 0 2]]",4,0.00015354156494140625,1.71661376953125e-05,1,0.0,inf
"[[0 2 2]
 [0 0 2]
 [0 2 0]]",4,0.0002219676971435547,1.71661376953125e-05,1,0.0,inf
"[[0 2 2]
 [0 0 2]
 [0 2 2]]",5,0.000194549560546875,1.6927719116210938e-05,1,0.0,inf
"[[0 2 2]
 [0 0 2]
 [2 0 0]]",4,0.00015234947204589844,1.7404556274414062e-05,1,1.0,0.332173247695568
"[[0 2 2]
 [0 0 2]
 [2 0 2]]",5,0.00025343894958496094,2.1219253540039062e-05,1,1.0,0.07132850792440104
"[[0 2 2]
 [0 0 2]
 [2 2 0]]",5,0.0001373291015625,1.7642974853515625e-05,1,1.0,0.08588950838999998
"[[0 2 2]
 [0 0 2]
 [2 2 2]]",6,0.00013685226440429688,1.7404556274414062e-05,2,1.0,0.6963674061674452
"[[0 2 2]
 [0 2 0]
 [0 0 0]]",3,0.0001647472381591797,1.7404556274414062e-05,0,0.0,inf
"[[0 2 2]
 [0 2 0]
 [0 0 2]]",4,0.0001518726348876953,1.71661376953125e-05,1,0.0,inf
"[[0 2 2]
 [0 2 0]
 [0 2 0]]",4,0.00016570091247558594,1.7642974853515625e-05,0,0.0,inf
"[[0 2 2]
 [0 2 0]
 [0 2 2]]",5,0.0001552104949951172,1.7404556274414062e-05,1,0.0,inf
"[[0 2 2]
 [0 2 0]
 [2 0 0]]",4,0.0001857280731201172,1.6927719116210938e-05,1,1.0,0.4732510288065843
"[[0 2 2]
 [0 2 0]
 [2 0 2]]",5,0.00015592575073242188,1.9788742065429688e-05,1,1.0,0.07132850792440104
"[[0 2 2]
 [0 2 0]
 [2 2 0]]",5,0.0001385211944580078,1.6927719116210938e-05,1,1.0,0.0383459664444159
"[[0 2 2]
 [0 2 0]
 [2 2 2]]",6,0.00016450881958007812,1.7404556274414062e-05,2,1.0,0.6963674061674452
"[[0 2 2]
 [0 2 2]
 [0 0 0]]",4,0.00017571449279785156,1.6450881958007812e-05,1,0.0,inf
"[[0 2 2]
 [0 2 2]
 [0 0 2]]",5,0.00018286705017089844,1.7881393432617188e-05,1,0.0,inf
"[[0 2 2]
 [0 2 2]
 [0 2 0]]",5,0.00015091896057128906,1.71661376953125e-05,1,0.0,inf
